237822270988608, 164539183264530, 381578606559948 @ 115, 346, -342
287838354624648, 284335343503076, 181128681512377 @ -5, -84, 175
341046208911993, 120694764237967, 376069872241870 @ -74, 129, -78
275834119712623, 395388307575057, 177270820376760 @ 90, -111, -10
284284433233698, 358506322947508, 169341917878543 @ 20, 133, 71
236676388618224, 139432657314826, 343396041364471 @ 47, 28, 19
271686440086412, 267306686527596, 183118696313003 @ 53, 273, 93
286338526846979, 357920256353161, 178006715671210 @ 8, 227, -38
277084490601628, 287132189587528, 259351816392501 @ 15, -16, 11
271571599499731, 376770270435084, 104803601292067 @ 102, -12, 505
318770864097708, 243720191032512, 285990120629205 @ -143, 505, -396
295264015466268, 171618421304212, 325317744985951 @ -15, 75, -21
295209980801646, 191803613346922, 309943723274129 @ -14, 20, 20
198214675546904, 272335936655574, 258298762033323 @ 111, -68, 75
288187702040868, 388917296420926, 171504207459427 @ -10, 94, -111
184273974013684, 12373190633322, 278042492719100 @ 207, 570, -48
242275200795523, 225852639315987, 440385087222770 @ 42, -57, -84
243949320421141, 268304032408684, 341451505286299 @ 66, -16, -95
337226374533810, 195159327254164, 299179995694807 @ -66, 19, 31
280978859731038, 215170295891107, 178692577877350 @ 13, 269, 138
337911809851926, 261853551304374, 399832774762439 @ -62, -78, -69
271876383595711, 335519858346274, 217529147144208 @ 42, -22, 14
244568061493968, 266873230762202, 239488175392715 @ 253, 621, -325
278218955785750, 407933581871350, 197938715346263 @ 41, -226, -19
314577860549553, 285709232531452, 286894806222145 @ -34, -112, 67
346903057043322, 418398080440144, 364319795293105 @ -146, -263, -298
529734307887258, 491687159914888, 436016326126261 @ -260, -333, -86
298036599924295, 248170224604671, 234466977373475 @ -24, 57, 57
295755146155944, 353246595858338, 209282418695331 @ -29, -69, 33
266600460292728, 403513334509342, 320849937647635 @ 31, -234, -75
231006679712922, 393081183652762, 251917334976715 @ 138, -200, -43
277404865614638, 177724646431182, 259087150561410 @ 17, 246, -16
294273485384420, 347723573228264, 193340426330173 @ -27, -27, 64
257420279878103, 263328355308992, 248062342477880 @ 32, -68, 96
434900672112058, 290298764569852, 301751505292905 @ -246, -49, -34
301671581437108, 305053229519674, 321502352111145 @ -25, -94, -33
429942222949264, 506190509889614, 321583030567971 @ -258, -416, -91
285641539350422, 397645556746126, 157728603096529 @ 26, -34, 88
354509827387988, 454131837716572, 372132543279535 @ -73, -292, -11
261627860229688, 262242055885842, 336647314239233 @ 35, -20, -70
320979101845192, 190805827444153, 221082401500335 @ -69, 179, 77
211706423968692, 350415455618041, 128647701783597 @ 79, -181, 239
275452568927752, 467720794785324, 134459480144873 @ 59, -533, 290
291459698467848, 373962596611742, 167538716401475 @ -35, 73, 60
299657202351448, 313114237596262, 319960308993995 @ -43, 71, -334
308630014995110, 315446681057454, 220999351349073 @ -63, 22, 15
285892456499118, 379677540710299, 164413655043039 @ 25, 263, -27
276209258971816, 189819125818148, 448036230015819 @ 11, 57, -195
210221830156354, 222958574958400, 209061241541121 @ 158, 149, 90
254119705865920, 297912302891790, 246767788341103 @ 63, -18, 19
405284877472644, 379532656383042, 268898089141147 @ -128, -215, 91
303895961751448, 31584229395362, 265807548981035 @ -25, 225, 71
366525943480573, 198883057545712, 296676081696670 @ -166, 188, -86
223251479251376, 334265571617594, 166325665825519 @ 137, -77, 178
212721217954316, 272326131169380, 314543481692175 @ 81, -89, 27
312701197317523, 317117441367962, 361955412428795 @ -60, -38, -255
405625102662498, 248836196390791, 366885123318877 @ -155, -41, -61
314318949267930, 255539974944019, 245192149265146 @ -59, 71, 20
288341647642664, 265487544378174, 254278550738755 @ -6, 43, 7
325169426281992, 491762438822366, 447235590214147 @ -41, -326, -71
314432431821313, 276597311939416, 238523350747753 @ -60, 32, 31
340685445118664, 252886691872102, 421969081241747 @ -109, 65, -321
518724873304278, 456564296629681, 451304897002021 @ -275, -301, -137
318428281973807, 298369789433741, 282353139939853 @ -64, -29, -41
276558285764498, 310529373406700, 255522069749617 @ 20, -23, -20
313808524188693, 122860079058487, 293356898354965 @ -52, 275, -45
240565198143708, 475312732738102, 299458792958395 @ 42, -312, 67
300394602525054, 306224291503411, 184760969239898 @ -47, 107, 96
250941744603526, 304929793414300, 287727245107337 @ 78, -7, -96
279081475632633, 364505249947792, 170308625883640 @ 72, 176, 26
296672387625238, 214186656143587, 299648981265484 @ -15, -25, 46
320669983020712, 180234091496526, 328195337004451 @ -39, -9, 31
220381054242696, 143123197129054, 335086612129027 @ 97, 158, -65
235239270701064, 244927547234302, 287390155087075 @ 67, -20, 27
300624657978087, 268815888127186, 364016855273943 @ -38, 122, -339
254284503382152, 349776788114350, 253967081013859 @ 123, -9, -185
312745897552648, 283498721596862, 146292901159395 @ -81, 145, 224
348473921800452, 97797166792498, 374660366178763 @ -86, 171, -85
303878701802568, 116822912295262, 235780699050755 @ -44, 470, 5
377914742743812, 499692624253094, 502220244386187 @ -113, -354, -207
267636092044648, 228101696049862, 349599529626395 @ 15, -67, 18
63288015101003, 23982354461092, 124158946546965 @ 234, 164, 243
